audiocap_id,youtube_id,start_time,caption
82999,kxirwP8Idn0,20,A man speaks then coughs followed by laughter
46131,MDSDhWhWfL8,140,A train running followed by a train horn
46130,MDRJ8icmjgI,350,A domestic animal is snoring and breathing loudly
53631,R8pcOO_A2uE,0,Someone whistles nearby
97152,vfbOX5T8YDk,30,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
28561,Bals78LmH5w,150,Children speak and laugh with a man
54544,RmJE9uVdgAk,23,A man yelling and ducks in the background
270,-5weqk40jaI,17,Strong wind against the microphone simultaneously with heavy rain.
19972,7PFt6ML7enY,50,A child cries and yells and an adult speaks in response
19971,7PBpJ4Uizfw,30,Several sirens are wailing and a horn is honked twice
273,-62RXhX5GZk,30,A dog grunts and an adult male speaks
274,-64ZmjOBlE8,20,Water being turned on and off
275,-65gZY_yF3o,17,Helicopter rotors drumming and squeaking bird
276,-668dhzzDQE,30,Car engine sound in car race
277,-67q0yYR0zk,24,People in a small crowd are speaking and a dog barks
278,-68677bCJWM,16,Distressed cat growling and hissing violently while woman laughs and talks
279,-68L7q5JlL4,30,Wind against a microphone on a speeding car
16707,5sfQQb6HpSc,210,A whistle and another man speaks and the whistling stops.
16706,5seYj-vSnEc,140,"Two men exchange words, then a car engine revs followed by a siren and fade in music"
16701,5sWgFNwk5zY,20,Someone fires a gun with others talking in the background
16700,5sTt2AMCjSA,30,A car is racing away very fast and its tires squeal a little
16703,5sZnJLp9We4,2,A loud siren whizzes past
16702,5sXK2pdYAwg,20,A woman hiccups and then women laugh and speak
88023,ogXzNVUU3Xk,20,"Coughing by woman and child, then woman and child speaking"
12019,3qPzSfovVmk,70,Truck engine running then a dragging noise
12018,3qPBmioT8Fo,30,"A dog is whining and whimpering, and an adult male is speaking"
88025,og_JH9cxUeg,30,Small frogs croak and chirp
12015,3qNSaQnzWUs,30,"The wind is blowing, a horse is trotting, and an adult male speaks"
12014,3qKmsP6BPXM,30,A car engine revving
12017,3qOswVO4sb0,30,A man is speaking
12016,3qOK68-L2cU,140,"An aircraft begins its takeoff, buzzing of small engines"
12011,3qA8qMYz3Xw,30,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks"
12010,3q94RIeQJ9Q,30,"An adult female speaks, tapping occurs, and a dog barks"
12013,3qKKDuwStA8,40,A person is speaking and crumpling paper
12012,3qC6_t1bjjw,21,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
17258,689OVglGxKE,30,A vehicle revs then explodes while a crowd cheers and an announcer exclaims
17259,68AJ_1alYNg,310,Man speaks while bees buzz
100014,xpRBnXZnRm0,370,A man speaking followed by crinkling
64677,YkWrXaJNpn4,320,A power tool hums and vibrates
100012,xpF_Jeaj7cs,6,"A man speaking followed by a swoosh then a loud splash, then a man laughs"
64671,YkQ12wpHeUc,0,Several birds tweet
100010,xpCI-rEY1kM,140,A woman speaking with music playing and a toilet flushing
100011,xpE3LXuhJS8,210,Vibrations and humming of a power drill
17250,67qTV1MDXhc,100,A bell chiming
17251,67r_mSftdjk,30,A woman giving a speech
17252,67rvn9HIZsM,10,The chirping of multiple birds accompanies gurgling water and crunching footsteps
17253,67tVU2CeweE,30,A domestic bird whistling
17254,67yhKQpwvjo,30,"People speak followed by spraying, then a phone rings"
17255,67zyxZb-wQM,340,A round of applause followed by a woman speaking
17256,6813SgG-6Rk,8,A door creaks open slowly
17257,6850oZZoeb8,60,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
63024,XbTazhNR5Cc,20,A kid talks followed by a woman talking while several people laugh
10709,3JNjTAf04rc,30,People are talking and pig oinks
10708,3JLBP8VnukU,12,A dog whimpers repeatedly
9258,2i8L8v2NTsY,30,A man gives a speech
9259,2i8w_CZEprk,0,"Water flowing, wind blowing, a dog whimpers"
10703,3JAjNVImec4,340,People cheering and race cars racing by
9257,2i82jVZy1pk,100,"Some unidentified low sound, followed by a child laughter and a female chuckling"
10701,3J9nGJ5dmsI,30,Motorcycle driving away at high speeds
10700,3J7NzRVaixM,7,"The wind is blowing, an engine runs, and tires squeal"
9252,2hyT23nJm_4,150,"A female speaking, then a baby babbling, then a female cheering and clapping, followed by another female laughing and speaking"
9253,2i-sTS4rNgs,30,A big engine is sitting in idle
9250,2hxTX4mb0bY,30,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling"
9251,2hxyWkenHI4,270,"A rapping sound is present and is echoing in a room, and people in a crowd speak in the background"
101352,yuqiS8rSp64,30,Humming and whooshing of a helicopter hovering close
21619,8Cscq1H9Lng,130,A vehicle driving and accelerating
21618,8Cpw8deghns,150,Crinkling noise followed by a man talking
21614,8ClpqdlMMTE,50,A small dog whimpering and howling
21617,8Cpu6HuZppw,50,Someone suddenly sneezes out loud
21616,8CpkuIJ1aQg,30,An adult male is speaking informatively
21611,8CdmbbBcx14,430,A kid speaking and another kid talks in the background
21610,8C_A2FOG02E,30,Bell chiming with a vehicle starting up
21613,8Cl-_ONJOes,30,A man is talking
21612,8Cex_va7-8U,17,"A horse walks, some wood creaks, and a man talks"
80275,ixaVHv5vqlw,10,"An adult female snickers quietly while faint snoring is ongoing, and random quiet metal clinking occurs"
19397,77fe_-5zCmM,20,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs"
42089,JaFx0FqcMRo,0,Humming of an engine followed by a woman speaking and a burp
45448,LkXhkR4lTS4,30,A person talking the entire clip
19396,77eV2YFJwgc,50,A gun is cocked and fired rapidly and cartridges ping against the floor
45445,LkXILk5okJg,200,Some liquid flows while kitchenware hits
45442,LkPH8_fJ7Ls,120,A male child speaks and plastic crumples and crinkles
45443,LkQIhNz1o9Q,30,Someone types on a keyboard
45440,LkNOOWFKHD8,30,Water splashing and gurgling as people talk
62368,XB-lOd-HH1o,30,A man talks while different birds tweet
54540,RmAsVtD8qzw,30,A train hiss loudly
19394,77_C3AMGp1k,160,Water is filling a basin and a young man is speaking
48620,Nnt49h9kSuQ,60,A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container
19393,77ZFT8HuVq0,30,"A boat motor is running and then accelerates, and water is splashing"
19392,77YX1V-mPcY,70,Water is flowing making bubbly sounds and splashing around
48622,Nnv7ImgNAEg,30,Continuous hissing with bells and a horn honking
19391,77W8716C44A,30,A frog croaking
46861,MgHh1iN_8fk,100,A sewing machine operates with squeaking sounds followed by knocking
58074,UA5_5uj4iIw,0,"The whir of machine motors, the clacking of wooden boards"
19390,77VHwpyq6xo,30,A dog barks while people speak
58072,U9ySkH80BU8,20,Someone speaks as water runs into a sink
48627,No4tP84-NvI,110,Clanking with brief speech
90310,qNsnip5tvsg,440,A person talking as a crowd laughs
62360,XASclzoqguI,250,A woman talks followed by sizzling and frying of food
90313,qNxytjnLbOE,30,A train engine is running and rhythmically chugging
90314,qO0P57aZBiw,30,A steam engine running on railroad tracks as steam heavily hisses
90317,qOA4vLvHHn8,80,Dogs growling while a woman is talking followed by dogs barking
91074,qzy-KWlmlgc,30,A spray is triggered
54542,RmF5uH_SuKQ,40,Several engines work in idle nearby
43263,KLGJt-Q65RA,40,Small birds chirping with people speaking
82440,kZ6h5EYl6fs,150,A large engine roars and someone is shouts a loud short rout
13058,4I2KlSyijz4,330,Men talk while an audience laughs and water runs from a faucet
13059,4IF49XmNCaw,50,"A toilet flushes, water flows"
13052,4HtkTDr342c,30,A man is speaking and water is gurgling in the background
13053,4HxIyosr-AM,200,A man is narrating while instrumental music plays and a plane engine sounds
13050,4HrtJcJc174,30,A woman is giving a speech
13051,4Hs1yZu1GAU,520,Food is sizzling dishes are clanging together and a woman is speaking
13056,4HzAuSA8Syk,60,"People talking in foreign language, train horn"
13057,4I0SfHz97Ag,150,"People applaud, and a man speaks"
13054,4Hy1t6KBY4o,520,Vehicle drives and honks its horn
13055,4Hz53AafH7s,480,Motor slowing down
54170,RX7gmpgfnYs,30,A man is talking and spraying something
54172,RXE39pZXG3M,4,A few slams are followed by referee whistles
54173,RXE4HGOTQWI,20,Phone ringing then two men speaking
33714,EN_D3UzTfqE,30,"An engine vibrates loudly nearby, and then wind blows"
54178,RXNZ-0Wteno,30,Vehicle traffic with a distant horn honking followed by a louder horn honking
54179,RXPij7peR3I,4,Singing followed by a man speaking then a bang
94541,tdWWY6SoqlY,30,A bus slows down and its engine decelerates quietly
94540,tdUv86s7PMw,30,An engine works while some frogs croak
94544,tdZk4rxpSlc,30,Whimpering and long yipping.
94546,tdfz7W9xNIw,10,Loud wind noises and a car horn and a person talking at the end
62084,WxuCynzEntQ,590,Metal clangs together in an enclosed space
20258,7XQZvjD_Ww0,30,A small motor is vibrating consistently
20259,7XSDamG_R38,30,An engine is attempted to be started up and then starts and idles
40321,ISTN_64MVnA,100,An electronic bleep beeping repeatedly
20252,7XCSZi0rS5E,550,A baby laughs and a man speaks
20253,7XCaCkHgkZM,30,A cat is meowing over and over
20250,7X3i7llSK9U,190,A train is blowing its horn as it passes by
20251,7XAySrozWrk,30,People in a small room are chanting and singing
20256,7XKwZAmhdrg,30,A bus engine idles and people are having a conversation
20257,7XL--db_qQ4,30,A bell is ringing and a train blows its horn twice long and hard
20254,7XChPEYFWpA,40,People are talking and bees are quietly buzzing in the background
44424,L5gAhon3a68,290,A person speaks and a small RC engine spools up
44423,L5fq5D1Uces,12,As the wind blows steadily a bird sings and an engine goes by
40963,Is4oH0_g21U,30,A sheep bleats and some objects hit
40960,IryLRJ2P_qQ,0,An insect buzzing intermittently
40961,Is0jFNep7kY,240,Fast rubbing followed by speech
29767,CEzwcZnypSY,30,A man speeches while a crowd whispers
29761,CEgyXSAygiw,0,"Explosions, gun fire, and popping and whizzing sounds"
29760,CEggxDcgEHc,70,Metal clashes and a man speaks
29763,CEnhuZ5Rm_Q,30,Birds chirping and rustling
1177,-RMYdwOv3Mo,120,A guy is speaking followed by some ceramic sound
1176,-RMHRmd5utQ,0,Continuous mechanical beep
1175,-RLhcWjOd1E,30,Animal noises and whimpering
1173,-RKs4NoVRms,30,A woman sneezes before describing the side effects of her cold
1172,-RIXNh-i88E,30,Woman speaking while a pan sizzles
1171,-RH8_ZSbHhc,30,Chatter and then a car horn beeping
1170,-RFRH50Qobg,0,Train horn tooting multiple times
23507,998RhGRlp1c,30,Rain hitting the roof
23506,995vcjHHtZc,26,People are being pushed back on her own
23504,994l_hUXlCM,30,"A group of birds cheep, a man speaks"
16883,5yAi2mLckGE,30,Two woman speak while ducks quack in the background
23502,98yzDuNZqjk,30,A boat or vehicle engine running steadily
1179,-ROt5_xhcyo,20,Vibration and noise of a working motor
1178,-RNPQI3AJMw,310,Rapid gunfire and gunshots
27619,B9JPdSzZXvc,4,A door is sliding open
27618,B9J303z3ICM,270,A flushing of water and people talking
27617,B9Hlx2G4ADc,30,An idling engine sound is followed by an engine revving
27616,B9F7ijiMaxs,30,Children are speaking followed by laughter
27615,B98GzVyBEH8,30,"A man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens"
27614,B97t6blNHnA,30,An engine idling consistently
27613,B94vwFIqTUQ,350,A man speaks and types
27612,B9-LyMdFE4I,190,Sanding and cracking
27611,B8xK_lJFsRw,30,People speaking on a moving bus
27610,B8t0JMx0vyk,450,Water pours out onto a surface
97938,wEXFa9wRSn0,90,International music plays as water pours into a pot and finally some splashes
59038,UrSXp3cd3tw,200,Humming of engines with some clicking and crackling
97931,wEDtBaumjH8,30,A train horn sounds then someone laughs
97930,wEDditLGJwg,60,"Several small shuffles of hard objects knocking, followed by loud explosions interspersed by a grown man chuckling"
16881,5y4pi2ShzhY,9,A explosion and a man speaking
97746,w5xqAI6Ev40,20,Clanking followed by a toilet flushing and then some more clanking
12833,4C2yBknu3ZM,320,Church bells chime loudly and repeatedly
12832,4C-Abooz-OA,30,The engine of a small machine pulling chains
12830,4BwQL9lW7A4,1,A vibrating noise
8549,2Qh9AFPNq50,8,A dog is barking people are talking
12836,4C6JkAoRyVk,0,A horse neighs and birds chirp outside
12835,4C5_pfsrp3Q,190,Birds are flapping their wings and some bird call
12834,4C4dfeDruIw,10,A person snoring
8545,2QZSUAQMHqk,30,Motor running followed by faint murmuring and gunshot
8544,2QXhTsNhzIQ,340,"A distant train horn, followed by the clickety-clank of the train on the rail"
12839,4C7zRL0dVgE,30,An aerosol is sprayed
12838,4C7XyQgZ_8I,30,A thump noise and a bird chirps
8541,2QTH4_WQlgg,0,A toilet flushes and then woman laugh in the background
8540,2QLhxtgqvU8,40,"A man speaks followed by electrical hums, some clicking, and liquid being poured"
8543,2QXBc5C7Ut0,30,Female speaking followed by child speaking
92260,rsfXfpnLfeE,29,Frogs croaking and chirping
74016,ePDemSpE3Ho,280,Continuous emergency sirens and horns
92267,rt-0CEbzL2k,470,High pitched continuous ringing followed by clanking and rustling
92264,rsrZOjkQ3rY,140,Rubbing and scraping followed by a soft power tool drilling then a louder power tool drilling
92265,rswivgQdpFA,10,A child and man speak then whistle
92268,rt0-hh8NqSo,60,Roosters crow and wings flap
92269,rt0Ksg7zpow,40,"An engine revs, tires squeal, a car accelerates into the distance"
66504,_-sns7INCWo,50,Rustling together with male speech and white noise
85179,mZRsCN0ygaM,360,Water running followed by paper ripping
53634,R8z8J9klk70,0,A camera is shuffled and a clang occurs
50410,OzmtIGIsh7Y,30,A man is speaking then a sewing machine briefly turns on and off
66508,_0GMVllsIy4,30,A pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds
23127,8xfX6p4e1ZI,30,Clip-clop of a horse trotting by
50415,OzvXPl848dw,100,A man speaks with some dry scraping and sanding
23126,8xah8J3bWis,100,A man and a woman talking as a telephone is ringing
16887,5yFBvLbq1XA,30,Water running from a faucet
54304,RbrSbC-bGY0,20,Wind blows and birds tweet
88394,oy-nvX8f8nY,340,A drill runs continuously
55621,SUF1l9xmZ-A,30,An engine revs very close by and then idles rickety
55627,SUTOf4oOJRE,50,A loud engine idling
55626,SUNjVhN08fE,230,A man speaks as water flows down a stream
22678,8j7q3t8ie10,30,Moving of objects followed by a beep
22679,8jF5KAS1LkI,170,Females speech followed by a sewing machine in operation
22676,8j6uc8DEzWA,0,A man is speaking and loud bangs happen
82995,kxY_Asbi1wI,80,Water moves around and splashes loudly as a man grunts at the end
22674,8j5gWsCQ3_4,19,A woman speaking and crowd cheering
22675,8j69QB0y4Cw,360,A vehicle driving by quietly and slowly
22672,8ixP67tAOXs,0,Vehicles are racing by at a fast speed
22673,8j-jFjOn_4A,0,Wind is blowing and woman is laughing
22670,8itRcDYjTiw,30,A man talking and traffic driving
22671,8itzyk-WgP0,30,A frog chirps and other frogs and crickets chirp in the background
15555,5MVE73rP6R8,30,A large engine hums and speeds down a roadway
16884,5yAnVjPDShU,29,Sirens ring out and cars speed by in the background
15554,5MSE1-YlVfc,30,A woman speaks followed by laughter and a cat crying
60908,W8BDM_jth3Y,540,A man speaks and a computer keyboard is clicked
15557,5MXhhFv6AMo,70,A toilet being flushed
40373,IU9Z_7GsYNM,30,Wind blows in a tunnel
15556,5MWchKu240k,340,Dog continuously barking while middle aged woman vocalizes in distinct accent and laughs
8295,2KLSmeAXUHU,15,An engine is revving up
85175,mZCsDKLUDQY,470,Motorcycles pass by loudly as people talk nearby
15550,5MIXgA43C0M,4,"People speak, some splashing and clapping followed by laughing"
65268,Z9yyGhM_9qw,200,Buzzing of nearby insects with distant quacking and faint speaking from a nearby man
15553,5MRDu6qgla0,55,A crowd of people are talking and a police siren goes off loudly
75536,fXUT4w2jCWs,130,An engine sound is followed by the sound of helicopter blades
15552,5MQaessPo-0,560,Multiple car engines run
65262,Z9aB-SFDnwk,310,"A man talks nearby, followed by a door closing, after which the man continues to talk"
46132,MDW5VlmaGjA,0,A vehicle engine revving and accelerating while driving by
393,-8v6KSVvQrc,30,The man is speaking and the backside spray sound
392,-8uTrn1Y85U,140,Ducks are quacking and an adult female speaks
391,-8tskHwTfcQ,30,The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause
390,-8sR1D7oCic,7,A race vehicle is accelerating its engine
397,-8ysWJSrITc,30,She is talking
396,-8yNBmjX1bE,30,Women speaking followed by children speaking
395,-8yCp5GagJA,500,The water tap was running water out of the faucet
394,-8xXKLBLOnc,70,A drill motor is running
399,-8zyGG5y3io,30,"A woman speaks to a crowd, some camera clicks"
398,-8z7eJDWf9U,30,A vehicle engine idles roughly
92889,sN5B3nfGlZY,10,Someone is typing keys on a computer keyboard at a fast pace
76868,gW4iTnEvqHA,240,"A car engine hums nearby, and then people talk quietly"
15558,5MXtSBsWrGs,30,An engine is being switched on
3749,0UlteOknFwI,30,Dog snuffling and panting
3746,0UlXhWYb9Js,0,A whistle blows then a car comes and passes very fast
3747,0UlaI-oeITg,19,The cars are passing by
3744,0UjmiLcmMa8,20,A toilet flushing away water while a bathroom stall door makes noise
3745,0Ukop25AhEc,0,A loud long burp is followed by a laugh
3742,0Ui0shNtHfY,30,"Water is running and gurgling, and a female speaks in the background"
3743,0UjUkHszzZ4,320,An adult male speaks and a medium vehicle engine starts up
3740,0Uf85Z4A7t4,30,Someone crying with dog barking and woman's voice in background
3741,0UhqGLU3zac,30,Vehicle spinning tires in place
57661,Tu0-doXRwUk,10,Rustling followed by a toilet flushing
99859,xiEIyeo6R7o,30,A vehicle engine slowly accelerates
57667,TuIfnuhmDq4,50,A couple of sequences where a computer-generated voice is followed by typing
57666,TuIQg2cJqAs,0,A child sneezes repeatedly
58708,UcYa-1k0Nvc,0,Steam following by a slide whistle
99855,xi5tZADVwcw,90,A man speaks and bees buzz
99856,xi7oWgo-wqM,0,High pitched screeching followed by rustling and some croaking
78247,hUViJ9zgHKw,30,Something squeals in protest and then something is clanked
52101,Q4ph8Eyq2Pw,200,A person talks nearby as an engine idles nearby and wind blows
60015,VWLLeNYvxII,30,Paper crackles nearby as it is manipulated
60017,VWNo6X7aecQ,540,A race car is driving as a man talks
60010,VWBLKuEA6EY,5,A vehicle engine is accelerated and a man speaks
49163,O9tPTmjH_hY,40,"Ambient water noises, followed by electronic motorboat engine"
60013,VWKCKIx5vAA,30,Water dripping and gurgling
68744,aad-tAx1DU0,13,A machine works
73334,dtkT2VYNgXA,40,Birds chirping and a person whistling
99011,x2ZyKE89nzw,0,"A child breathes hard, coughs, and then cries"
21930,8MvVwaGPKnI,10,"Birds are chirping, crickets are chirping, rustling occurs, and an adult male speaks"
21931,8MxxgRV8o7U,420,"An adult male speaks, water runs, splashes and gurgles, and a thump occurs"
21932,8MzdJUn9n8U,6,A car starts up and is revved
21933,8N-sgJB6Ias,30,A man is speaking followed by a thud
21934,8N0pMDO4hsQ,0,"Approaching vehicle with blowout, birds in background"
21935,8N4KO96rkdU,30,Water crashing and small person talking
21936,8N5c7JZmKGs,30,"Traffic is audible, a motor vehicle passes by, and slight clicking occurs"
21937,8N5eETeI8Z0,17,"A child cries, a woman speaks, cat shrieks and the child cries more"
21939,8NAMpUl01ug,200,Wind blowing hard followed by two men talking in distant ending with a frog croaking
99993,xodr5wnFQvs,100,Traffic revs up far in the distance
99992,xobSVmWsS3M,230,A back and forth sanding noise
99995,xoeIYiJsPy0,30,A helicopter whirs consistently
99994,xoeGfFrOSec,30,A man talks while a model airplane flies
57087,TVdAI0xaU8s,0,Crackling followed by an explosion
57086,TVWqe2XM0o8,20,Men speak with splashing water
57080,TVDvmHlcGm0,0,A door opens up nearby
57088,TVdoDP96590,12,High pitched whistling following by low whistling
69641,bDrPO37cp6M,90,A machine works while wind blows strongly followed by a siren being triggered
31760,DKM2KjNkX18,470,A man speaks and types on a keyboard
55834,SdzaTL0aJXc,50,Wind blows and people laugh followed by a horse neighing
100190,xzCbpSQgdpI,60,A car engine accelerates followed by a beep
19970,7P8x9GIvRJA,30,A woman is narrating in a foreign language
16709,5siQ3K31KeI,10,"Sewing machine going, then stopping and starting up again"
75300,fMGNky979o4,50,Continuous digital beeping
16708,5siKASaXYTU,0,Numerous background noise of people and animals that end with an animal bellowing
6819,1ijeSI4LOrU,30,Birds are flapping their wings
6818,1iiFj83VI7M,0,"Squeaking occurs, two females speak and laugh, and a hoofed animal walks by"
102365,ziUoP8L-zkA,230,An aircraft engine running
102362,ziO8CGRSZZ8,30,Some clicks followed by a man speaking then some bangs
19975,7PKDrv5WP9o,18,A dog barks in concert with rhythmic thumping
102360,ziG1mj5gTTo,170,"An aircraft motor is running and buzzing, propellers are vibrating, and two adult males speak faintly in the background"
72456,dHJ0pK27t6k,240,Food sizzling with metal clanging followed by clanking on a porcelain surface as an air ventilation system runs
6811,1iYLIIMgINQ,30,"A crowd cheers, a man speaks to them"
6810,1iXLWRFE000,30,An engine is idling
6813,1ibgN7gv1bQ,30,Pigeon makes lots of different sound
6812,1iaEDqdYliE,14,A man is speaking and cars are speeding by
6815,1ie_mPvVJ4A,30,A motorboat engine is in use
6814,1icEOZdgkVY,30,Infant crying frantically
6817,1ihBVEOfaVE,0,Birds chirping and people speaking
6816,1ih1mXowz1U,0,An animal is stomping its feet
9757,2vSzoyYcFAA,30,Woman giving a speech
9755,2vNfb9JmJcQ,13,A loud clicking and shuffling occurs
9754,2vNYlboKPQg,30,Car driving fast then braking
9753,2vKxkciAFaM,9,"A dog pants, shuffles and barks"
9752,2vJVctVYbMo,30,An older man is giving a speech
9751,2vIXsl6gICw,30,Loud engine attempting to get started
9750,2vHhaU0k_4k,30,The ticking and chiming of a clock
38384,HDkT9w96tnY,50,"A musical instrument bleeps, and then a machine beeps loudly several times"
19979,7PQhq0YjusE,30,Wind is blowing and dog is panting and whimpering gently
9759,2vTVb3LhxXE,210,Clanking of dishes in the background while an older man speaks
9758,2vTS31IeyOY,7,Papers rustling
24146,9SwqisZFZr8,30,Television plays in background then a young child sneezes and speaks followed by an adult woman who speaks
24147,9Sxy1AlWmB8,70,A bell chimes several times
24144,9SvCis6IdgU,26,"Man laughing and talking, whistle and engine revving"
24145,9SwGzhspGIs,30,A woman speaking followed by a baby cooing
24142,9Sn8mlDZ0zs,17,Wind blowing in a microphone and a group of people talking
24143,9SpP079VAYw,30,A man is snoring loudly
24141,9SkN9u22uhE,70,Engine idling quietly with light wind
86938,nrbgVzLPpdQ,10,Vehicles pass and the wind blows
37309,GXPeyqXZfyM,80,Motor vehicles are racing and skidding
24149,9T1QT2OQ0iM,560,Crumpling noise then a female voice speaks
81405,jnPD-M9kIm0,290,A machine runs very loudly
80590,jCTsyQRkwhg,15,An idle vehicle engine followed by a musical horn honking then a truck accelerating
58398,UOdw1xsTQFU,25,A bell rings and a train passes nearby
91959,rf6ZMK2V3mM,100,Birds tweet and vocalize
59952,VTuEzCUFTdE,0,Clanging sound then a toilet flushing
59954,VU-1nxT7YPU,250,Some surface is hit by a metallic tool
79408,iJXDHdIpB_k,30,"A man speaks, then lots of clicks and rustles and a pig squealing"
58938,Umyx9TCiAS0,10,Someone is snoring softly and there is a light static and a voice in the background
58939,UmzfsnxjAVk,90,Typing on a computer keyboard followed by a man speaking then plastic cranking
58262,UJ-2WuTunkE,170,A man talks and types on a keyboard
33755,EPSPjAR8ztY,30,A crowd applause loudly nearby as a person talks in the distance
33754,EPNr68hknvw,30,"In a quiet environment, an adult male is speaking"
100194,xzMxL-HwhFw,50,Several birds tweet while a man talks
54273,RaJx8et3wo8,250,Vehicles passing by with a loud horn honking continuously
93968,tC9f6uvVKZc,18,An emergency siren powering down followed by audio hissing and muffled metal clanging
49822,ObnqwJxrbcI,30,Some laughs lightly
68344,aIi_i_Bt510,50,A vehicle engine idling
68346,aIjQkQ36AVQ,80,A person sucks air and belches very loudly
33750,EPCTznmNcNw,0,Telephone ringing followed by a woman speaking
68340,aIS31DyFpDg,210,A car accelerates and skids
68343,aIbQ6eQ67GA,400,A man speaking with a distant boom of a jet engine
102106,zVy9pETn6oI,30,Rustling with distant people speaking followed by a girl speaking
102107,zW46UonugXU,220,People are in conversation and laughing
67376,_b_dv4jK9vI,30,Humming and sputtering of an idling engine revving
88984,pOwNRM3BM_w,30,Water running continuously
94334,tTvvPOTmImA,570,Click clack then bell ringing
77386,gqzRsP0mwsc,140,A baby cries loudly as a woman grumbles
81561,juJgS5-ddRU,60,Church bells ring in the distance multiple times as people talk nearby
100016,xpUT30qUUaI,10,Rustling and white noise followed by a sneeze
100017,xpWWXLTXMaA,320,Gunshots ring out and an explosion occurs
30229,CUvDaVFQ0sg,450,A woman speaking and dishes clanking
30334,CYJhs2CPpQs,350,Men speaking with distant traffic passing
100015,xpSkkPTtQw4,80,High pitched squeaking with people speaking and sirens in the distance
76168,g0EXbG41tRY,30,Rumble of an engine followed by an abrupt sharp tone then an engine accelerating
76164,g0ACaijG5Rs,110,A harsh motor sound
76163,g06QT0gUKvo,30,A machine runs rapidly
30224,CUlxjccLpXc,30,An idling car revs the engine
76161,g-wlCCvMt_A,50,Wind blows strongly while people talk far away
76160,g-uqyDcbnA4,20,Wind blowing followed by wood cracking
44805,LLfowliB_YU,70,A man talks while a drill tool works
100130,xvjCydZMfPg,90,A sewing machine works while a man talks
30222,CUl0CDciflY,10,A motorcycle passes by and then a man talks as the motorcycle starts to come back
49165,O9xjy2_DUL8,110,"A small motor run, something beeps, and then metal hits metal"
30223,CUlUUdmljb0,30,Static in the background while a child snores rhythmically
52460,QLEM4EzQhrQ,0,A man and woman speak after liquid is poured
92603,s8zWOWalXy4,30,Rail car noises and horn start to fade into the distance
30221,CUiajtjBXHM,30,Air rushing followed by a couple of sneezes
52462,QLKw_Tgd-ys,70,A gun shoots with lots of revert
